四川移动-组播1,#genre#
贵州卫视,http://171.213.134.23:4000/rtp/239.11.0.51:5140
辽宁卫视,http://171.213.134.23:4000/rtp/239.11.0.118:5140
陕西卫视,http://171.213.134.23:4000/rtp/239.11.0.54:5140
青海卫视,http://171.213.134.23:4000/rtp/239.11.0.124:5140
青海卫视,http://171.213.134.23:4000/rtp/239.11.0.56:5140
黑龙江卫视,http://171.213.134.23:4000/rtp/239.11.0.36:5140
天津卫视,http://171.213.134.23:4000/rtp/239.11.0.123:5140
重庆卫视,http://171.213.134.23:4000/rtp/239.11.0.116:5140
四川峨眉电影,http://171.213.134.23:4000/rtp/239.11.0.11:5140
四川乡村,http://171.213.134.23:4000/rtp/239.11.0.4:5140
四川卫视,http://171.213.134.23:4000/rtp/239.11.0.78:5140
四川影视文艺,http://171.213.134.23:4000/rtp/239.11.0.77:5140
四川文化旅游,http://171.213.134.23:4000/rtp/239.11.0.3:5140
四川新闻,http://171.213.134.23:4000/rtp/239.11.0.5:5140
四川星空购物,http://171.213.134.23:4000/rtp/239.11.0.125:5140
四川科教,http://171.213.134.23:4000/rtp/239.11.0.194:5140
四川经济,http://171.213.134.23:4000/rtp/239.11.0.2:5140
四川妇女儿童,http://171.213.134.23:4000/rtp/239.11.0.8:5140
成都公共,http://171.213.134.23:4000/rtp/239.10.0.15:5140
成都少儿,http://171.213.134.23:4000/rtp/239.10.0.16:5140
成都影视文艺,http://171.213.134.23:4000/rtp/239.10.0.14:5140
成都新闻综合,http://171.213.134.23:4000/rtp/239.10.0.11:5140
成都每日购物,http://171.213.134.23:4000/rtp/239.10.0.33:5140
成都经济资讯,http://171.213.134.23:4000/rtp/239.10.0.12:5140
成都都市生活,http://171.213.134.23:4000/rtp/239.10.0.13:5140
乐山新闻综合,http://171.213.134.23:4000/rtp/239.10.0.62:5140
乐山文旅生活,http://171.213.134.23:4000/rtp/239.10.0.63:5140
内江综合,http://171.213.134.23:4000/rtp/239.10.0.71:5140
内江科教生活,http://171.213.134.23:4000/rtp/239.10.0.73:5140
凉山新闻综合,http://171.213.134.23:4000/rtp/239.10.0.64:5140
凉山彝语综合,http://171.213.134.23:4000/rtp/239.10.0.65:5140
南充综合,http://171.213.134.23:4000/rtp/239.10.0.68:5140
南充科教生活,http://171.213.134.23:4000/rtp/239.10.0.70:5140
宜宾新闻综合,http://171.213.134.23:4000/rtp/239.10.0.80:5140
宜宾公共,http://171.213.134.23:4000/rtp/239.10.0.81:5140
