黑龙江联通-组播1,#genre#
北京卫视4K,http://1.56.158.173:4022/rtp/229.58.190.212:5000$2160p
东南卫视,http://1.56.158.173:4022/rtp/229.58.190.168:5000$1080p
东南卫视,http://1.56.158.173:4022/rtp/229.58.190.180:5000$576p
东方卫视,http://1.56.158.173:4022/rtp/229.58.190.144:5000$576p
东方卫视,http://1.56.158.173:4022/rtp/229.58.190.54:5000$1080p
云南卫视,http://1.56.158.173:4022/rtp/229.58.190.176:5000$576p
云南卫视,http://1.56.158.173:4022/rtp/229.58.190.203:5000$1080p
兵团卫视,http://1.56.158.173:4022/rtp/229.58.190.178:5000$576p
兵团卫视,http://1.56.158.173:4022/rtp/229.58.190.220:5000$1080p
内蒙古卫视,http://1.56.158.173:4022/rtp/229.58.190.183:5000$576p
北京卫视,http://1.56.158.173:4022/rtp/229.58.190.172:5000$1080p
北京卫视,http://1.56.158.173:4022/rtp/229.58.190.65:5000$576p
吉林卫视,http://1.56.158.173:4022/rtp/229.58.190.140:5000$576p
吉林卫视,http://1.56.158.173:4022/rtp/229.58.190.214:5000$1080p
四川卫视,http://1.56.158.173:4022/rtp/229.58.190.38:5000$1080p
四川卫视,http://1.56.158.173:4022/rtp/229.58.190.73:5000$576p
天津卫视,http://1.56.158.173:4022/rtp/229.58.190.68:5000$576p
宁夏卫视,http://1.56.158.173:4022/rtp/229.58.190.184:5000$576p
宁夏卫视,http://1.56.158.173:4022/rtp/229.58.190.218:5000$1080p
安徽卫视,http://1.56.158.173:4022/rtp/229.58.190.162:5000$1080p
安徽卫视,http://1.56.158.173:4022/rtp/229.58.190.71:5000$576p
山东卫视,http://1.56.158.173:4022/rtp/229.58.190.160:5000$1080p
山东卫视,http://1.56.158.173:4022/rtp/229.58.190.33:5000$576p
山西卫视,http://1.56.158.173:4022/rtp/229.58.190.84:5000$576p
山西卫视,http://1.56.158.173:4022/rtp/229.58.190.89:5000$1080p
广东卫视,http://1.56.158.173:4022/rtp/229.58.190.139:5000$576p
广东卫视,http://1.56.158.173:4022/rtp/229.58.190.53:5000$1080p
广西卫视,http://1.56.158.173:4022/rtp/229.58.190.145:5000$576p
广西卫视,http://1.56.158.173:4022/rtp/229.58.190.31:5000$1080p
延边卫视,http://1.56.158.173:4022/rtp/229.58.190.108:5000$576p
新疆卫视,http://1.56.158.173:4022/rtp/229.58.190.179:5000$576p
新疆卫视,http://1.56.158.173:4022/rtp/229.58.190.217:5000$1080p
江苏卫视,http://1.56.158.173:4022/rtp/229.58.190.147:5000$576p
江苏卫视,http://1.56.158.173:4022/rtp/229.58.190.37:5000$1080p
江西卫视,http://1.56.158.173:4022/rtp/229.58.190.208:5000$1080p
江西卫视,http://1.56.158.173:4022/rtp/229.58.190.74:5000$576p
河北卫视,http://1.56.158.173:4022/rtp/229.58.190.209:5000$1080p
河北卫视,http://1.56.158.173:4022/rtp/229.58.190.55:5000$576p
河南卫视,http://1.56.158.173:4022/rtp/229.58.190.103:5000$1080p
河南卫视,http://1.56.158.173:4022/rtp/229.58.190.62:5000$576p
浙江卫视,http://1.56.158.173:4022/rtp/229.58.190.28:5000$576p
浙江卫视,http://1.56.158.173:4022/rtp/229.58.190.36:5000$1080p
海南卫视,http://1.56.158.173:4022/rtp/229.58.190.141:5000$576p
海南卫视,http://1.56.158.173:4022/rtp/229.58.190.25:5000$1080p
深圳卫视,http://1.56.158.173:4022/rtp/229.58.190.104:5000$576p
深圳卫视,http://1.56.158.173:4022/rtp/229.58.190.52:5000$1080p
湖北卫视,http://1.56.158.173:4022/rtp/229.58.190.101:5000$1080p
湖北卫视,http://1.56.158.173:4022/rtp/229.58.190.148:5000$576p
湖南卫视,http://1.56.158.173:4022/rtp/229.58.190.128:5000$1080p
湖南卫视,http://1.56.158.173:4022/rtp/229.58.190.142:5000$576p
甘肃卫视,http://1.56.158.173:4022/rtp/229.58.190.185:5000$576p
甘肃卫视,http://1.56.158.173:4022/rtp/229.58.190.207:5000$1080p
甘肃卫视,http://1.56.158.173:4022/rtp/229.58.190.185:5000$576p
西藏卫视,http://1.56.158.173:4022/rtp/229.58.190.177:5000$576p
西藏卫视,http://1.56.158.173:4022/rtp/229.58.190.219:5000$1080p
贵州卫视,http://1.56.158.173:4022/rtp/229.58.190.100:5000$1080p
贵州卫视,http://1.56.158.173:4022/rtp/229.58.190.143:5000$576p
辽宁卫视,http://1.56.158.173:4022/rtp/229.58.190.51:5000$1080p
重庆卫视,http://1.56.158.173:4022/rtp/229.58.190.27:5000$576p
重庆卫视,http://1.56.158.173:4022/rtp/229.58.190.67:5000$1080p
陕西卫视,http://1.56.158.173:4022/rtp/229.58.190.204:5000$1080p
陕西卫视,http://1.56.158.173:4022/rtp/229.58.190.80:5000$576p
青海卫视,http://1.56.158.173:4022/rtp/229.58.190.149:5000$576p
黑龙江卫视,http://1.56.158.173:4022/rtp/229.58.190.125:5000$576p
黑龙江卫视,http://1.56.158.173:4022/rtp/229.58.190.150:5000$1080p
黑龙江农业科教,http://1.56.158.173:4022/rtp/229.58.190.123:5000$576p
黑龙江农业科教,http://1.56.158.173:4022/rtp/229.58.190.7:5000$1080p
黑龙江少儿,http://1.56.158.173:4022/rtp/229.58.190.124:5000$576p
黑龙江少儿,http://1.56.158.173:4022/rtp/229.58.190.39:5000$1080p
黑龙江影视,http://1.56.158.173:4022/rtp/229.58.190.126:5000$576p
黑龙江影视,http://1.56.158.173:4022/rtp/229.58.190.14:5000$1080p
黑龙江文体,http://1.56.158.173:4022/rtp/229.58.190.116:5000$576p
黑龙江文体,http://1.56.158.173:4022/rtp/229.58.190.30:5000$1080p
黑龙江新闻法治,http://1.56.158.173:4022/rtp/229.58.190.122:5000$576p
黑龙江新闻法治,http://1.56.158.173:4022/rtp/229.58.190.16:5000$1080p
黑龙江都市,http://1.56.158.173:4022/rtp/229.58.190.121:5000$576p
黑龙江都市,http://1.56.158.173:4022/rtp/229.58.190.34:5000$1080p
齐齐哈尔新闻综合,http://1.56.158.173:4022/rtp/229.58.190.164:5000$576p
齐齐哈尔新闻综合,http://1.56.158.173:4022/rtp/229.58.190.193:5000$1080p
齐齐哈尔经济法治,http://1.56.158.173:4022/rtp/229.58.190.171:5000$1080p
齐齐哈尔经济法治,http://1.56.158.173:4022/rtp/229.58.190.4:5000$576p
黑河新闻综合,http://1.56.158.173:4022/rtp/229.58.190.12:5000$576p
佳木斯新闻综合,http://1.56.158.173:4022/rtp/229.58.190.163:5000$1080p
佳木斯新闻综合,http://1.56.158.173:4022/rtp/229.58.190.215:5000$576p
哈尔滨新闻综合,http://1.56.158.173:4022/rtp/229.58.190.195:5000$1080p
哈尔滨新闻综合,http://1.56.158.173:4022/rtp/229.58.190.196:5000$576p
哈尔滨生活,http://1.56.158.173:4022/rtp/229.58.190.22:5000$576p
东方财经,http://1.56.158.173:4022/rtp/229.58.190.105:5000$1080p
东方财经,http://1.56.158.173:4022/rtp/229.58.190.198:5000$576p
中国天气,http://1.56.158.173:4022/rtp/229.58.190.115:5000$1080p
中国天气,http://1.56.158.173:4022/rtp/229.58.190.95:5000$576p
乐游,http://1.56.158.173:4022/rtp/229.58.190.106:5000$1080p
乐游,http://1.56.158.173:4022/rtp/229.58.190.86:5000$576p
书画,http://1.56.158.173:4022/rtp/229.58.190.79:5000$576p
优漫卡通,http://1.56.158.173:4022/rtp/229.58.190.165:5000$576p
动漫秀场,http://1.56.158.173:4022/rtp/229.58.190.78:5000$1080p
动漫秀场,http://1.56.158.173:4022/rtp/229.58.190.97:5000$576p
嘉佳卡通,http://1.56.158.173:4022/rtp/229.58.190.107:5000$576p
四海钓鱼,http://1.56.158.173:4022/rtp/229.58.190.205:5000$576p
四海钓鱼,http://1.56.158.173:4022/rtp/229.58.190.221:5000$1080p
天元围棋,http://1.56.158.173:4022/rtp/229.58.190.11:5000$576p
天元围棋,http://1.56.158.173:4022/rtp/229.58.190.6:5000$1080p
山东教育,http://1.56.158.173:4022/rtp/229.58.190.170:5000$576p
山东教育,http://1.56.158.173:4022/rtp/229.58.190.210:5000$1080p
快乐垂钓,http://1.56.158.173:4022/rtp/229.58.190.113:5000$1080p
快乐垂钓,http://1.56.158.173:4022/rtp/229.58.190.42:5000$576p
文物宝库,http://1.56.158.173:4022/rtp/229.58.190.118:5000$576p
文物宝库,http://1.56.158.173:4022/rtp/229.58.190.167:5000$1080p
梨园频道,http://1.56.158.173:4022/rtp/229.58.190.117:5000$576p
梨园频道,http://1.56.158.173:4022/rtp/229.58.190.152:5000$1080p
欢笑剧场,http://1.56.158.173:4022/rtp/229.58.190.10:5000$576p
欢笑剧场,http://1.56.158.173:4022/rtp/229.58.190.87:5000$1080p
武术世界,http://1.56.158.173:4022/rtp/229.58.190.120:5000$576p
武术世界,http://1.56.158.173:4022/rtp/229.58.190.169:5000$1080p
法治天地,http://1.56.158.173:4022/rtp/229.58.190.110:5000$1080p
法治天地,http://1.56.158.173:4022/rtp/229.58.190.92:5000$576p
游戏风云,http://1.56.158.173:4022/rtp/229.58.190.114:5000$1080p
游戏风云,http://1.56.158.173:4022/rtp/229.58.190.91:5000$576p
生活时尚,http://1.56.158.173:4022/rtp/229.58.190.102:5000$1080p
生活时尚,http://1.56.158.173:4022/rtp/229.58.190.93:5000$576p
财富天下,http://1.56.158.173:4022/rtp/229.58.190.109:5000$576p
财富天下,http://1.56.158.173:4022/rtp/229.58.190.192:5000$1080p
都市剧场,http://1.56.158.173:4022/rtp/229.58.190.70:5000$576p
都市剧场,http://1.56.158.173:4022/rtp/229.58.190.85:5000$1080p
金色学堂,http://1.56.158.173:4022/rtp/229.58.190.77:5000$1080p
金色学堂,http://1.56.158.173:4022/rtp/229.58.190.88:5000$576p
金鹰卡通,http://1.56.158.173:4022/rtp/229.58.190.181:5000$576p
金鹰卡通,http://1.56.158.173:4022/rtp/229.58.190.98:5000$1080p
热播剧场,http://1.56.158.173:4022/rtp/229.58.190.75:5000$1080p
经典剧场,http://1.56.158.173:4022/rtp/229.58.190.94:5000$1080p
家庭影院,http://1.56.158.173:4022/rtp/229.58.190.200:5000$1080p
影视剧场,http://1.56.158.173:4022/rtp/229.58.190.201:5000$1080p
精彩影视,http://1.56.158.173:4022/rtp/229.58.190.90:5000$1080p
电视购物,http://1.56.158.173:4022/rtp/229.58.190.45:5000$1080p
