四川联通-组播1,#genre#
CGTN阿语,http://112.192.72.15:8484/rtp/239.0.0.47:5140$1080p
CGTN俄语,http://112.192.72.15:8484/rtp/239.0.0.48:5140$1080p
CGTN,http://112.192.72.15:8484/rtp/239.0.0.49:5140$1080p
CETV1,http://112.192.72.15:8484/rtp/239.0.0.51:5140$1080p
CETV2,http://112.192.72.15:8484/rtp/239.0.0.196:5140$576p
CETV4,http://112.192.72.15:8484/rtp/239.0.0.98:5140$1080p
中央新影-老故事,http://112.192.72.15:8484/rtp/239.0.0.27:5140$576p
中央新影-中学生,http://112.192.72.15:8484/rtp/239.0.0.29:5140$576p
CCTV4K,http://112.192.72.15:8484/rtp/239.0.0.184:5140
CCTV4K,http://112.192.72.15:8484/rtp/239.0.0.214:5140$2160p
北京卫视4K,http://112.192.72.15:8484/rtp/239.0.0.198:5140
深圳卫视4K,http://112.192.72.15:8484/rtp/239.0.0.199:5140$2160p
广东卫视4K,http://112.192.72.15:8484/rtp/239.0.0.200:5140
多彩文体,http://112.192.72.15:8484/rtp/239.0.0.201:5140
四川卫视4K,http://112.192.72.15:8484/rtp/239.0.0.202:5140$2160p
四川卫视4K,http://112.192.72.15:8484/rtp/239.0.0.203:5140
四川卫视4K,http://112.192.72.15:8484/rtp/239.0.0.178:5140
四川卫视4K,http://112.192.72.15:8484/rtp/239.0.0.180:5140
湖南卫视4K,http://112.192.72.15:8484/rtp/239.0.0.204:5140
江苏卫视4K,http://112.192.72.15:8484/rtp/239.0.0.205:5140$2160p
浙江卫视4K,http://112.192.72.15:8484/rtp/239.0.0.206:5140$2160p
东方卫视4K,http://112.192.72.15:8484/rtp/239.0.0.207:5140
山东卫视4K,http://112.192.72.15:8484/rtp/239.0.0.208:5140
湖南卫视4K,http://112.192.72.15:8484/rtp/239.0.0.209:5140$2160p
江苏卫视4K,http://112.192.72.15:8484/rtp/239.0.0.210:5140
浙江卫视4K,http://112.192.72.15:8484/rtp/239.0.0.211:5140
东方卫视4K,http://112.192.72.15:8484/rtp/239.0.0.212:5140
山东卫视4K,http://112.192.72.15:8484/rtp/239.0.0.213:5140
深圳卫视4K,http://112.192.72.15:8484/rtp/239.0.0.215:5140
广东卫视4K,http://112.192.72.15:8484/rtp/239.0.0.216:5140
三沙卫视,http://112.192.72.15:8484/rtp/239.0.0.195:5140$576p
东南卫视,http://112.192.72.15:8484/rtp/239.0.0.62:5140$1080p
东方卫视,http://112.192.72.15:8484/rtp/239.0.0.58:5140$1080p
云南卫视,http://112.192.72.15:8484/rtp/239.0.0.74:5140$1080p
兵团卫视,http://112.192.72.15:8484/rtp/239.0.0.41:5140$1080p
内蒙古卫视,http://112.192.72.15:8484/rtp/239.0.0.59:5140$1080p
北京卫视,http://112.192.72.15:8484/rtp/239.0.0.52:5140$1080p
厦门卫视,http://112.192.72.15:8484/rtp/239.0.0.194:5140$576p
吉林卫视,http://112.192.72.15:8484/rtp/239.0.0.191:5140$1080p
天津卫视,http://112.192.72.15:8484/rtp/239.0.0.54:5140$1080p
宁夏卫视,http://112.192.72.15:8484/rtp/239.0.0.35:5140$1080p
安多卫视,http://112.192.72.15:8484/rtp/239.0.0.109:5140$576p
安徽卫视,http://112.192.72.15:8484/rtp/239.0.0.65:5140$1080p
山东卫视,http://112.192.72.15:8484/rtp/239.0.0.66:5140$1080p
山东教育,http://112.192.72.15:8484/rtp/239.0.0.197:5140$576p
山西卫视,http://112.192.72.15:8484/rtp/239.0.0.253:5140$576p
山西卫视,http://112.192.72.15:8484/rtp/239.0.0.78:5140$576p
广东卫视,http://112.192.72.15:8484/rtp/239.0.0.70:5140$1080p
广西卫视,http://112.192.72.15:8484/rtp/239.0.0.185:5140$1080p
康巴卫视,http://112.192.72.15:8484/rtp/239.0.0.175:5140$1080p
延边卫视,http://112.192.72.15:8484/rtp/239.0.0.76:5140$576p
新疆卫视,http://112.192.72.15:8484/rtp/239.0.0.38:5140$1080p
江苏卫视,http://112.192.72.15:8484/rtp/239.0.0.60:5140$1080p
江西卫视,http://112.192.72.15:8484/rtp/239.0.0.63:5140$1080p
河北卫视,http://112.192.72.15:8484/rtp/239.0.0.55:5140$1080p
河南卫视,http://112.192.72.15:8484/rtp/239.0.0.182:5140$1080p
浙江卫视,http://112.192.72.15:8484/rtp/239.0.0.61:5140$1080p
海南卫视,http://112.192.72.15:8484/rtp/239.0.0.73:5140$1080p
深圳卫视,http://112.192.72.15:8484/rtp/239.0.0.71:5140$1080p
湖北卫视,http://112.192.72.15:8484/rtp/239.0.0.67:5140$1080p
湖南卫视,http://112.192.72.15:8484/rtp/239.0.0.68:5140$1080p
甘肃卫视,http://112.192.72.15:8484/rtp/239.0.0.192:5140$1080p
西藏卫视,http://112.192.72.15:8484/rtp/239.0.0.39:5140$1080p
西藏藏语,http://112.192.72.15:8484/rtp/239.0.0.105:5140$576p
贵州卫视,http://112.192.72.15:8484/rtp/239.0.0.64:5140$1080p
辽宁卫视,http://112.192.72.15:8484/rtp/239.0.0.56:5140$1080p
重庆卫视,http://112.192.72.15:8484/rtp/239.0.0.72:5140$1080p
陕西卫视,http://112.192.72.15:8484/rtp/239.0.0.53:5140$1080p
青海卫视,http://112.192.72.15:8484/rtp/239.0.0.108:5140$576p
黑龙江卫视,http://112.192.72.15:8484/rtp/239.0.0.57:5140$1080p
快乐垂钓,http://112.192.72.15:8484/rtp/239.0.0.40:5140$1080p
金鹰卡通,http://112.192.72.15:8484/rtp/239.0.0.95:5140$576p
金鹰纪实,http://112.192.72.15:8484/rtp/239.0.0.69:5140$1080p
精彩影视,http://112.192.72.15:8484/rtp/239.0.0.26:5140$1080p
动漫秀场,http://112.192.72.15:8484/rtp/239.0.0.28:5140$1080p
乐游,http://112.192.72.15:8484/rtp/239.0.0.30:5140$1080p
书画,http://112.192.72.15:8484/rtp/239.0.0.31:5140$576p
金色学堂,http://112.192.72.15:8484/rtp/239.0.0.32:5140$1080p
法治天地,http://112.192.72.15:8484/rtp/239.0.0.33:5140$1080p
财富天下,http://112.192.72.15:8484/rtp/239.0.0.34:5140$1080p
BRTV卡酷少儿,http://112.192.72.15:8484/rtp/239.0.0.75:5140$576p
BRTV纪实科教,http://112.192.72.15:8484/rtp/239.0.0.77:5140$1080p
中国交通,http://112.192.72.15:8484/rtp/239.0.0.143:5140$1080p
