广西电信-组播1,#genre#
山西卫视,http://124.162.36.24:4022/udp/239.81.0.49:4056$576p
新疆卫视,http://124.162.36.24:4022/udp/239.81.0.122:4056$1080p
新疆卫视,http://124.162.36.24:4022/udp/239.81.0.46:4056$576p
江苏卫视,http://124.162.36.24:4022/udp/239.81.0.106:4056$1080p
江苏卫视,http://124.162.36.24:4022/udp/239.81.0.34:4056$576p
江西卫视,http://124.162.36.24:4022/udp/239.81.0.204:4056
江西卫视,http://124.162.36.24:4022/udp/239.81.0.38:4056$576p
河北卫视,http://124.162.36.24:4022/udp/239.81.0.51:4056$576p
河北卫视,http://124.162.36.24:4022/udp/239.81.0.94:4056$1080p
河南卫视,http://124.162.36.24:4022/udp/239.81.0.220:4056$1080p
河南卫视,http://124.162.36.24:4022/udp/239.81.0.44:4056$576p
浙江卫视,http://124.162.36.24:4022/udp/239.81.0.108:4056$1080p
浙江卫视,http://124.162.36.24:4022/udp/239.81.0.31:4056$576p
海南卫视,http://124.162.36.24:4022/udp/239.81.0.199:4056$1080p
海南卫视,http://124.162.36.24:4022/udp/239.81.0.48:4056$576p
深圳卫视,http://124.162.36.24:4022/udp/239.81.0.103:4056$1080p
深圳卫视,http://124.162.36.24:4022/udp/239.81.0.57:4056$576p
湖北卫视,http://124.162.36.24:4022/udp/239.81.0.112:4056$1080p
湖北卫视,http://124.162.36.24:4022/udp/239.81.0.41:4056$576p
湖南卫视,http://124.162.36.24:4022/udp/239.81.0.110:4056$1080p
湖南卫视,http://124.162.36.24:4022/udp/239.81.0.166:4056$1080p
湖南卫视,http://124.162.36.24:4022/udp/239.81.0.40:4056$576p
甘肃卫视,http://124.162.36.24:4022/udp/239.81.0.207:4056$1080p
西藏卫视,http://124.162.36.24:4022/udp/239.81.0.55:4056$576p
西藏卫视,http://124.162.36.24:4022/udp/239.81.0.90:4056$1080p
贵州卫视,http://124.162.36.24:4022/udp/239.81.0.56:4056$576p
贵州卫视,http://124.162.36.24:4022/udp/239.81.0.95:4056$1080p
辽宁卫视,http://124.162.36.24:4022/udp/239.81.0.210:4056$1080p
辽宁卫视,http://124.162.36.24:4022/udp/239.81.0.35:4056$576p
重庆卫视,http://124.162.36.24:4022/udp/239.81.0.47:4056$576p
陕西卫视,http://124.162.36.24:4022/udp/239.81.0.89:4056$576p
青海卫视,http://124.162.36.24:4022/udp/239.81.0.53:4056$576p
黑龙江卫视,http://124.162.36.24:4022/udp/239.81.0.105:4056$1080p
黑龙江卫视,http://124.162.36.24:4022/udp/239.81.0.33:4056$576p
广东卫视,http://124.162.36.24:4022/udp/239.81.0.104:4056$1080p
广东卫视,http://124.162.36.24:4022/udp/239.81.0.36:4056$576p
广西卫视,http://124.162.36.24:4022/udp/239.81.0.107:4056$1080p
广西卫视,http://124.162.36.24:4022/udp/239.81.0.2:4056$576p
广西影视,http://124.162.36.24:4022/udp/239.81.0.250:4056$1080p
广西影视,http://124.162.36.24:4022/udp/239.81.0.7:4056$576p
广西新闻,http://124.162.36.24:4022/udp/239.81.0.248:4056
广西新闻,http://124.162.36.24:4022/udp/239.81.0.5:4056$576p
广西移动,http://124.162.36.24:4022/udp/239.81.0.10:4056$576p
广西移动,http://124.162.36.24:4022/udp/239.81.0.216:4056$1080p
广西综艺旅游,http://124.162.36.24:4022/udp/239.81.0.214:4056$1080p
广西综艺旅游,http://124.162.36.24:4022/udp/239.81.0.3:4056$576p
广西都市,http://124.162.36.24:4022/udp/239.81.0.124:4056$1080p
广西都市,http://124.162.36.24:4022/udp/239.81.0.247:4056$1080p
广西都市,http://124.162.36.24:4022/udp/239.81.0.4:4056$576p
广西乐思购,http://124.162.36.24:4022/udp/239.81.0.9:4056$576p
广西IPTV宣传,http://124.162.36.24:4022/udp/239.81.0.208:4056$1080p
广西IPTV宣传,http://124.162.36.24:4022/udp/239.81.0.201:4056$1080p
广西IPTV宣传,http://124.162.36.24:4022/udp/239.81.0.202:4056
广西IPTV宣传,http://124.162.36.24:4022/udp/239.81.0.203:4056$1080p
广西IPTV宣传,http://124.162.36.24:4022/udp/239.81.0.205:4056
广西IPTV宣传,http://124.162.36.24:4022/udp/239.81.0.251:4056
