宁夏电信-组播1,#genre#
戏曲,http://111.113.150.63:9999/rtp/239.121.4.187:9106
新疆卫视,http://111.113.150.63:9999/rtp/239.121.4.58:8322
旅游卫视,http://111.113.150.63:9999/rtp/239.121.4.50:8274
早教,http://111.113.150.63:9999/rtp/239.121.4.198:9172
星影,http://111.113.150.63:9999/rtp/239.121.4.168:8992
极速汽车,http://111.113.150.63:9999/rtp/239.121.4.77:8436
欢笑剧场,http://111.113.150.63:9999/rtp/239.121.4.64:8358
武侠剧场,http://111.113.150.63:9999/rtp/239.121.4.179:9058
武术,http://111.113.150.63:9999/rtp/239.121.4.191:9130
江苏卫视,http://111.113.150.63:9999/rtp/239.121.4.115:8672
江苏卫视,http://111.113.150.63:9999/rtp/239.121.4.28:8142
江西卫视,http://111.113.150.63:9999/rtp/239.121.4.35:8184
河北卫视,http://111.113.150.63:9999/rtp/239.121.4.39:8208
河南卫视,http://111.113.150.63:9999/rtp/239.121.4.40:8214
法治天地,http://111.113.150.63:9999/rtp/239.121.4.70:8394
浙江卫视,http://111.113.150.63:9999/rtp/239.121.4.116:8678
浙江卫视,http://111.113.150.63:9999/rtp/239.121.4.29:8148
深圳卫视,http://111.113.150.63:9999/rtp/239.121.4.119:8696
深圳卫视,http://111.113.150.63:9999/rtp/239.121.4.54:8298
游戏风云,http://111.113.150.63:9999/rtp/239.121.4.75:8424
湖北卫视,http://111.113.150.63:9999/rtp/239.121.4.126:8738
湖北卫视,http://111.113.150.63:9999/rtp/239.121.4.34:8178
湖南卫视,http://111.113.150.63:9999/rtp/239.121.4.114:8666
湖南卫视,http://111.113.150.63:9999/rtp/239.121.4.33:8172
炫动卡通,http://111.113.150.63:9999/rtp/239.121.4.51:8280
热播剧场,http://111.113.150.63:9999/rtp/239.121.4.171:9010
熊猫频道,http://111.113.150.63:9999/rtp/239.121.4.165:8974
爱生活,http://111.113.150.63:9999/rtp/239.121.4.189:9118
甘肃卫视,http://111.113.150.63:9999/rtp/239.121.4.25:8124
生活时尚,http://111.113.150.63:9999/rtp/239.121.4.68:8382
