广东移动-组播1,#genre#
广东经济科教,http://120.234.187.66:10086/rtp/239.20.0.98:3008
广西卫视,http://120.234.187.66:10086/rtp/239.20.0.15:3344
延边卫视,http://120.234.187.66:10086/rtp/239.20.0.51:3216
惠州新闻综合,http://120.234.187.66:10086/rtp/239.21.0.27:3448
广东IPTV,http://120.234.187.66:10086/rtp/239.21.0.92:3708
揭阳综合,http://120.234.187.66:10086/rtp/239.21.0.91:3704
新疆卫视,http://120.234.187.66:10086/rtp/239.20.0.158:2114
广东IPTV,http://120.234.187.66:10086/rtp/239.21.0.90:3700
汕尾综合,http://120.234.187.66:10086/rtp/239.21.0.89:3696
江苏卫视,http://120.234.187.66:10086/rtp/239.20.0.170:2138
江苏卫视,http://120.234.187.66:10086/rtp/239.20.0.93:3028
江西卫视,http://120.234.187.66:10086/rtp/239.20.0.55:3180
河北卫视,http://120.234.187.66:10086/rtp/239.20.0.56:3176
河南卫视,http://120.234.187.66:10086/rtp/239.20.0.144:2086
河源生活,http://120.234.187.66:10086/rtp/239.21.0.49:3536
河源综合,http://120.234.187.66:10086/rtp/239.21.0.48:3532
浙江卫视,http://120.234.187.66:10086/rtp/239.20.0.169:2136
浙江卫视,http://120.234.187.66:10086/rtp/239.20.0.94:3024
海南卫视,http://120.234.187.66:10086/rtp/239.20.0.155:2108
深圳卫视,http://120.234.187.66:10086/rtp/239.20.0.122:2042
深圳卫视,http://120.234.187.66:10086/rtp/239.20.0.92:3032
湖北卫视,http://120.234.187.66:10086/rtp/239.20.0.124:2046
湖北卫视,http://120.234.187.66:10086/rtp/239.20.0.90:3040
湖南卫视,http://120.234.187.66:10086/rtp/239.20.0.105:2008
湖南卫视,http://120.234.187.66:10086/rtp/239.20.0.95:3020
广东IPTV,http://120.234.187.66:10086/rtp/239.20.0.128:2054
甘肃卫视,http://120.234.187.66:10086/rtp/239.20.0.159:2116
西藏卫视,http://120.234.187.66:10086/rtp/239.20.0.157:2112
贵州卫视,http://120.234.187.66:10086/rtp/239.20.0.212:2222
辽宁卫视,http://120.234.187.66:10086/rtp/239.20.0.175:2148
辽宁卫视,http://120.234.187.66:10086/rtp/239.20.0.86:3056
重庆卫视,http://120.234.187.66:10086/rtp/239.20.0.195:2188
金鹰卡通,http://120.234.187.66:10086/rtp/239.20.0.163:2124
金鹰纪实,http://120.234.187.66:10086/rtp/239.20.0.196:2190
金鹰纪实,http://120.234.187.66:10086/rtp/239.20.0.85:3060
陕西卫视,http://120.234.187.66:10086/rtp/239.20.0.151:2100
青海卫视,http://120.234.187.66:10086/rtp/239.20.0.154:2106
黑龙江卫视,http://120.234.187.66:10086/rtp/239.20.0.123:2044
黑龙江卫视,http://120.234.187.66:10086/rtp/239.20.0.91:3036
咪视界1,http://120.234.187.66:10086/rtp/239.20.0.45:3224
咪视界2,http://120.234.187.66:10086/rtp/239.20.0.44:3228
咪视界3,http://120.234.187.66:10086/rtp/239.20.0.43:3232
咪视界4,http://120.234.187.66:10086/rtp/239.20.0.14:3348
咪视界5,http://120.234.187.66:10086/rtp/239.20.0.13:3352
咪视界6,http://120.234.187.66:10086/rtp/239.20.0.12:3356
咪视界7,http://120.234.187.66:10086/rtp/239.20.0.11:3360
咪视界8,http://120.234.187.66:10086/rtp/239.20.0.10:3364
咪视界9,http://120.234.187.66:10086/rtp/239.20.0.09:3368
咪视界10,http://120.234.187.66:10086/rtp/239.21.0.10:3380
咪视界11,http://120.234.187.66:10086/rtp/239.21.0.11:3384
咪视界12,http://120.234.187.66:10086/rtp/239.21.0.12:3388
咪视界13,http://120.234.187.66:10086/rtp/239.21.0.13:3392
咪视界14,http://120.234.187.66:10086/rtp/239.21.0.14:3396
咪视界15,http://120.234.187.66:10086/rtp/239.21.0.15:3400
咪视界16,http://120.234.187.66:10086/rtp/239.21.0.16:3404
咪视界17,http://120.234.187.66:10086/rtp/239.21.0.17:3408
咪视界18,http://120.234.187.66:10086/rtp/239.21.0.18:3412
