云南电信-组播1,#genre#
CCTV-16 奥林匹克,http://182.247.36.5:4080/rtp/239.200.200.193:8776
CCTV-17 农业农村,http://182.247.36.5:4080/rtp/239.200.201.128:8504
CETV1,http://182.247.36.5:4080/rtp/239.200.201.49:8756
CETV4,http://182.247.36.5:4080/rtp/239.200.201.122:8784
CGTN,http://182.247.36.5:4080/rtp/239.200.201.182:4220
CGTN纪录,http://182.247.36.5:4080/rtp/239.200.201.183:4220
CGTN阿语,http://182.247.36.5:4080/rtp/239.200.201.186:4220
CGTN俄语,http://182.247.36.5:4080/rtp/239.200.201.187:4220
CGTN西语,http://182.247.36.5:4080/rtp/239.200.201.184:4220
CGTN法语,http://182.247.36.5:4080/rtp/239.200.201.185:4220
CHC影迷电影,http://182.247.36.5:4080/rtp/239.200.201.34:8148
CHC家庭影院,http://182.247.36.5:4080/rtp/239.200.201.30:8140
CHC动作电影,http://182.247.36.5:4080/rtp/239.200.201.31:8144
梨园频道,http://182.247.36.5:4080/rtp/239.200.200.101:8048
茶频道,http://182.247.36.5:4080/rtp/239.200.201.36:8404
武术世界,http://182.247.36.5:4080/rtp/239.200.200.90:8064
金鹰纪实,http://182.247.36.5:4080/rtp/239.200.201.126:8840
文物宝库,http://182.247.36.5:4080/rtp/239.200.200.96:8112
快乐垂钓,http://182.247.36.5:4080/rtp/239.200.200.103:8400
中国交通,http://182.247.36.5:4080/rtp/239.200.201.138:8556
中国天气,http://182.247.36.5:4080/rtp/239.200.200.213:8724
重庆卫视,http://182.247.36.5:4080/rtp/239.200.200.230:8364
江苏卫视,http://182.247.36.5:4080/rtp/239.200.200.7:8028
浙江卫视,http://182.247.36.5:4080/rtp/239.200.200.141:8724
东方卫视,http://182.247.36.5:4080/rtp/239.200.200.8:8032
深圳卫视,http://182.247.36.5:4080/rtp/239.200.200.67:8776
北京卫视,http://182.247.36.5:4080/rtp/239.200.200.5:8024
山东卫视,http://182.247.36.5:4080/rtp/239.200.200.168:8748
天津卫视,http://182.247.36.5:4080/rtp/239.200.200.69:1234
贵州卫视,http://182.247.36.5:4080/rtp/239.200.201.119:8788
四川卫视,http://182.247.36.5:4080/rtp/239.200.201.137:8796
云南卫视,http://182.247.36.5:4080/rtp/239.200.200.205:8616
云南卫视,http://182.247.36.5:4080/rtp/239.200.200.145:8840
云南卫视,http://182.247.36.5:4080/rtp/239.200.201.141:8872
广西卫视,http://182.247.36.5:4080/rtp/239.200.200.53:8280
黑龙江卫视,http://182.247.36.5:4080/rtp/239.200.200.66:8016
安徽卫视,http://182.247.36.5:4080/rtp/239.200.200.129:8720
山西卫视,http://182.247.36.5:4080/rtp/239.200.200.56:8292
江西卫视,http://182.247.36.5:4080/rtp/239.200.201.79:8876
湖北卫视,http://182.247.36.5:4080/rtp/239.200.200.68:8772
海南卫视,http://182.247.36.5:4080/rtp/239.200.201.159:8408
陕西卫视,http://182.247.36.5:4080/rtp/239.200.200.55:8288
东南卫视,http://182.247.36.5:4080/rtp/239.200.201.69:8764
吉林卫视,http://182.247.36.5:4080/rtp/239.200.201.127:8792
辽宁卫视,http://182.247.36.5:4080/rtp/239.200.200.167:8736
湖南卫视,http://182.247.36.5:4080/rtp/239.200.200.6:8012
