山东电信-组播1,#genre#
陕西卫视,http://123.168.210.194:6777/udp/239.21.1.30:5002$576p
陕西卫视,http://123.168.210.194:6777/udp/239.21.2.193:5002
青海卫视,http://123.168.210.194:6777/udp/239.21.2.51:5002
青海卫视,http://123.168.210.194:6777/udp/239.21.2.85:5002
黑龙江卫视,http://123.168.210.194:6777/udp/239.21.1.91:5002
东方财经,http://123.168.210.194:6777/udp/239.21.2.108:5002
中华特产,http://123.168.210.194:6777/udp/239.21.2.177:5002
中国交通,http://123.168.210.194:6777/udp/239.21.1.115:5002$1080p
中央新影-中学生,http://123.168.210.194:6777/udp/239.21.2.176:5002
乐游,http://123.168.210.194:6777/udp/239.21.2.104:5002
书画,http://123.168.210.194:6777/udp/239.21.2.111:5002
优优宝贝,http://123.168.210.194:6777/udp/239.21.2.94:5002
优漫卡通,http://123.168.210.194:6777/udp/239.21.1.50:5002$576p
嘉佳卡通,http://123.168.210.194:6777/udp/239.21.2.5:5002$576p
动漫秀场,http://123.168.210.194:6777/udp/239.21.2.92:5002
四海钓鱼,http://123.168.210.194:6777/udp/239.21.2.180:5002
快乐垂钓,http://123.168.210.194:6777/udp/239.21.2.97:5002
文物宝库,http://123.168.210.194:6777/udp/239.21.2.109:5002
新动漫,http://123.168.210.194:6777/udp/239.21.2.93:5002$576p
梨园频道,http://123.168.210.194:6777/udp/239.21.2.101:5002
武术世界,http://123.168.210.194:6777/udp/239.21.2.96:5002
求索纪录,http://123.168.210.194:6777/udp/239.21.2.159:5002
法治天地,http://123.168.210.194:6777/udp/239.21.2.105:5002
游戏风云,http://123.168.210.194:6777/udp/239.21.2.107:5002
环球旅游,http://123.168.210.194:6777/udp/239.21.2.115:5002
生态环境,http://123.168.210.194:6777/udp/239.21.2.160:5002
生活时尚,http://123.168.210.194:6777/udp/239.21.2.103:5002
精彩影视,http://123.168.210.194:6777/udp/239.21.2.91:5002
财富天下,http://123.168.210.194:6777/udp/239.21.1.127:5002$1080p
都市剧场,http://123.168.210.194:6777/udp/239.21.2.90:5002
重庆汽摩,http://123.168.210.194:6777/udp/239.21.2.142:5002
重温经典影视,http://123.168.210.194:6777/udp/239.21.2.77:5002
金色学堂,http://123.168.210.194:6777/udp/239.21.2.102:5002
金鹰卡通,http://123.168.210.194:6777/udp/239.21.2.121:5002
金鹰纪实,http://123.168.210.194:6777/udp/239.21.1.170:5002$1080p
山东卫视,http://123.168.210.194:6777/udp/239.21.1.87:5002$1080p
山东卫视,http://123.168.210.194:6777/udp/239.21.2.130:5002
山东卫视,http://123.168.210.194:6777/udp/239.21.2.157:5002
山东卫视,http://123.168.210.194:6777/udp/239.21.2.158:5002
山东九画面,http://123.168.210.194:6777/udp/239.21.1.203:5002$1080p
山东体育休闲,http://123.168.210.194:6777/udp/239.21.1.141:5002
山东农科,http://123.168.210.194:6777/udp/239.21.1.183:5002$1080p
山东少儿,http://123.168.210.194:6777/udp/239.21.1.208:5002$1080p
山东居家购物,http://123.168.210.194:6777/udp/239.21.1.112:5002
山东教育,http://123.168.210.194:6777/udp/239.21.1.169:5002
山东文旅,http://123.168.210.194:6777/udp/239.21.1.176:5002$1080p
山东新闻,http://123.168.210.194:6777/udp/239.21.1.140:5002
山东生活,http://123.168.210.194:6777/udp/239.21.1.175:5002$1080p
山东综艺,http://123.168.210.194:6777/udp/239.21.1.177:5002$1080p
山东齐鲁,http://123.168.210.194:6777/udp/239.21.1.134:5002
山东交通广播,http://123.168.210.194:6777/udp/239.21.2.151:5002
山东经济广播,http://123.168.210.194:6777/udp/239.21.2.148:5002
山东广播,http://123.168.210.194:6777/udp/239.21.1.66:5002
山东广播,http://123.168.210.194:6777/udp/239.21.2.36:5002
东平综合,http://123.168.210.194:6777/udp/239.21.1.216:5002$1080p
东昌综合,http://123.168.210.194:6777/udp/239.21.2.190:5002
东明新闻综合,http://123.168.210.194:6777/udp/239.21.1.246:5002$576p
东营公共,http://123.168.210.194:6777/udp/239.21.1.82:5002
东营新闻综合,http://123.168.210.194:6777/udp/239.21.1.81:5002$576p
东阿综合,http://123.168.210.194:6777/udp/239.21.2.61:5002
临朐综合,http://123.168.210.194:6777/udp/239.21.2.62:5002
临沭综合,http://123.168.210.194:6777/udp/239.21.2.154:5002
临淄新闻综合,http://123.168.210.194:6777/udp/239.21.2.192:5002
临清综合,http://123.168.210.194:6777/udp/239.21.2.123:5002
乳山综合,http://123.168.210.194:6777/udp/239.21.1.220:5002$1080p
五莲综合,http://123.168.210.194:6777/udp/239.21.1.250:5002$576p
五莲综合,http://123.168.210.194:6777/udp/239.21.2.191:5002
任城影视娱乐,http://123.168.210.194:6777/udp/239.21.2.144:5002
任城新闻综合,http://123.168.210.194:6777/udp/239.21.2.143:5002
兖州综合,http://123.168.210.194:6777/udp/239.21.1.224:5002$1080p
兰陵公共,http://123.168.210.194:6777/udp/239.21.2.63:5002
兰陵综合,http://123.168.210.194:6777/udp/239.21.1.237:5002$1080p
冠县综合,http://123.168.210.194:6777/udp/239.21.2.149:5002
单县综合,http://123.168.210.194:6777/udp/239.21.2.21:5002$1080p
历城综合,http://123.168.210.194:6777/udp/239.21.2.132:5002
周村新闻,http://123.168.210.194:6777/udp/239.21.2.150:5002
商河综合,http://123.168.210.194:6777/udp/239.21.2.53:5002
嘉祥综合,http://123.168.210.194:6777/udp/239.21.2.84:5002
