湖北电信-组播1,#genre#
兵团卫视,http://yf.w2z.com:4022/rtp/239.69.2.32:11346
北京卫视,http://yf.w2z.com:4022/rtp/239.254.96.141:8920
吉林卫视,http://yf.w2z.com:4022/rtp/239.69.1.212:10914
四川卫视,http://yf.w2z.com:4022/rtp/239.69.1.169:10650
天津卫视,http://yf.w2z.com:4022/rtp/239.69.1.68:10048
宁夏卫视,http://yf.w2z.com:4022/rtp/239.69.2.33:11352
安徽卫视,http://yf.w2z.com:4022/rtp/239.69.1.70:10060
山东卫视,http://yf.w2z.com:4022/rtp/239.69.1.69:10054
广东卫视,http://yf.w2z.com:4022/rtp/239.254.96.140:8914
广西卫视,http://yf.w2z.com:4022/rtp/239.69.1.191:10788
新疆卫视,http://yf.w2z.com:4022/rtp/239.69.2.30:11334
江苏卫视,http://yf.w2z.com:4022/rtp/239.254.96.144:8938
江西卫视,http://yf.w2z.com:4022/rtp/239.69.1.126:10394
河北卫视,http://yf.w2z.com:4022/rtp/239.254.96.113:9616
河北卫视,http://yf.w2z.com:4022/rtp/239.69.1.157:10578
河南卫视,http://yf.w2z.com:4022/rtp/239.69.1.168:10644
浙江卫视,http://yf.w2z.com:4022/rtp/239.254.96.143:8932
海南卫视,http://yf.w2z.com:4022/rtp/239.69.1.151:10542
深圳卫视,http://yf.w2z.com:4022/rtp/239.254.96.137:8896
湖南卫视,http://yf.w2z.com:4022/rtp/239.254.96.139:8908
甘肃卫视,http://yf.w2z.com:4022/rtp/239.69.2.23:11292
西藏卫视,http://yf.w2z.com:4022/rtp/239.69.2.31:11340
贵州卫视,http://yf.w2z.com:4022/rtp/239.69.1.150:10536
辽宁卫视,http://yf.w2z.com:4022/rtp/239.69.1.71:10066
重庆卫视,http://yf.w2z.com:4022/rtp/239.69.1.149:10530
青海卫视,http://yf.w2z.com:4022/rtp/239.69.2.24:11298
黑龙江卫视,http://yf.w2z.com:4022/rtp/239.254.96.138:8902
九屏导视,http://yf.w2z.com:4022/rtp/239.69.1.156:10572
湖北卫视,http://yf.w2z.com:4022/rtp/239.254.96.115:8664
湖北公共新闻,http://yf.w2z.com:4022/rtp/239.69.1.40:9880
湖北垄上,http://yf.w2z.com:4022/rtp/239.69.1.43:9898
湖北影视,http://yf.w2z.com:4022/rtp/239.69.1.204:10866
湖北教育,http://yf.w2z.com:4022/rtp/239.69.1.206:10878
湖北生活,http://yf.w2z.com:4022/rtp/239.69.1.205:10872
湖北经视,http://yf.w2z.com:4022/rtp/239.69.1.41:9886
湖北综合,http://yf.w2z.com:4022/rtp/239.69.1.42:9892
武汉新闻综合,http://yf.w2z.com:4022/rtp/239.69.1.145:10506
武汉电视剧,http://yf.w2z.com:4022/rtp/239.69.1.146:10512
武汉都市文体,http://yf.w2z.com:4022/rtp/239.69.1.251:11148
武汉教育,http://yf.w2z.com:4022/rtp/239.69.1.60:9994
房县综合,http://yf.w2z.com:4022/rtp/239.69.1.192:10794
蔡甸综合,http://yf.w2z.com:4022/rtp/239.69.1.245:11112
阳新综合,http://yf.w2z.com:4022/rtp/239.69.1.34:9844
东方财经,http://yf.w2z.com:4022/rtp/239.69.2.9:11208
中华特产,http://yf.w2z.com:4022/rtp/239.69.2.18:11262
中国交通,http://yf.w2z.com:4022/rtp/239.69.2.3:11172
乐游,http://yf.w2z.com:4022/rtp/239.69.2.12:11226
凤凰中文,http://yf.w2z.com:4022/rtp/239.69.2.20:11274
凤凰资讯,http://yf.w2z.com:4022/rtp/239.69.2.19:11268
动漫秀场,http://yf.w2z.com:4022/rtp/239.69.2.6:11190
四海钓鱼,http://yf.w2z.com:4022/rtp/239.69.1.244:11106
快乐垂钓,http://yf.w2z.com:4022/rtp/239.69.1.142:10488
文物宝库,http://yf.w2z.com:4022/rtp/239.69.1.46:9916
梨园频道,http://yf.w2z.com:4022/rtp/239.69.1.33:9838
欢笑剧场,http://yf.w2z.com:4022/rtp/239.69.2.5:11184
武术世界,http://yf.w2z.com:4022/rtp/239.69.1.47:9922
法治天地,http://yf.w2z.com:4022/rtp/239.69.2.10:11214
游戏风云,http://yf.w2z.com:4022/rtp/239.69.2.8:11202
生活时尚,http://yf.w2z.com:4022/rtp/239.69.2.11:11220
茶频道,http://yf.w2z.com:4022/rtp/239.69.1.144:10500
都市剧场,http://yf.w2z.com:4022/rtp/239.69.2.4:11178
金色学堂,http://yf.w2z.com:4022/rtp/239.69.2.13:11232
金鹰卡通,http://yf.w2z.com:4022/rtp/239.69.1.248:11130
金鹰纪实,http://yf.w2z.com:4022/rtp/239.69.1.109:10292
书画,http://yf.w2z.com:4022/rtp/239.69.1.189:10776
环球奇观,http://yf.w2z.com:4022/rtp/239.254.96.192:9232
国学频道,http://yf.w2z.com:4022/rtp/239.254.96.194:9244
新动漫,http://yf.w2z.com:4022/rtp/239.69.1.187:10764
金鹰卡通,http://yf.w2z.com:4022/rtp/239.254.96.189:9214
