安徽电信-组播1,#genre#
四川卫视,http://124.112.241.36:4022/rtp/238.1.78.30:6168
江西卫视,http://124.112.241.36:4022/rtp/238.1.78.26:6136
广东卫视,http://124.112.241.36:4022/rtp/238.1.78.161:7160
海南卫视,http://124.112.241.36:4022/rtp/238.1.79.49:4504
湖北卫视,http://124.112.241.36:4022/rtp/238.1.78.168:7216
湖南卫视,http://124.112.241.36:4022/rtp/238.1.78.160:7152
贵州卫视,http://124.112.241.36:4022/rtp/238.1.78.244:7824
河北卫视,http://124.112.241.36:4022/rtp/238.1.78.245:7832
河南卫视,http://124.112.241.36:4022/rtp/238.1.79.65:4632
山东卫视,http://124.112.241.36:4022/rtp/238.1.78.169:7224
甘肃卫视,http://124.112.241.36:4022/rtp/238.1.79.36:4400
陕西卫视,http://124.112.241.36:4022/rtp/238.1.78.88:6576
云南卫视,http://124.112.241.36:4022/rtp/238.1.78.89:6584
山西卫视,http://124.112.241.36:4022/rtp/238.1.78.95:6632
青海卫视,http://124.112.241.36:4022/rtp/238.1.78.102:6688
广西卫视,http://124.112.241.36:4022/rtp/238.1.78.70:6432
内蒙古卫视,http://124.112.241.36:4022/rtp/238.1.78.103:6696
宁夏卫视,http://124.112.241.36:4022/rtp/238.1.78.109:6744
新疆卫视,http://124.112.241.36:4022/rtp/238.1.78.110:6752
西藏卫视,http://124.112.241.36:4022/rtp/238.1.78.101:6680
深圳卫视,http://124.112.241.36:4022/rtp/238.1.78.156:7120
兵团卫视,http://124.112.241.36:4022/rtp/238.1.78.104:6704
三沙卫视,http://124.112.241.36:4022/rtp/238.1.78.27:6144
厦门卫视,http://124.112.241.36:4022/rtp/238.1.78.246:7840
江西陶瓷,http://124.112.241.36:4022/rtp/238.1.78.157:7128
乐游,http://124.112.241.36:4022/rtp/238.1.78.151:7080
动漫秀场,http://124.112.241.36:4022/rtp/238.1.78.154:7104
金鹰纪实,http://124.112.241.36:4022/rtp/238.1.79.9:4184
茶频道,http://124.112.241.36:4022/rtp/238.1.79.30:4352
快乐垂钓,http://124.112.241.36:4022/rtp/238.1.79.31:4360
生活时尚,http://124.112.241.36:4022/rtp/238.1.78.155:7112
安徽卫视,http://124.112.241.36:4022/rtp/238.1.78.33:6192
BRTV卡酷少儿,http://124.112.241.36:4022/rtp/238.1.78.97:6648
金鹰卡通,http://124.112.241.36:4022/rtp/238.1.78.100:6672
山东教育,http://124.112.241.36:4022/rtp/238.1.78.254:7904
财富天下,http://124.112.241.36:4022/rtp/238.1.78.25:6128
东方财经浦东,http://124.112.241.36:4022/rtp/238.1.78.73:6456
都市剧场,http://124.112.241.36:4022/rtp/238.1.78.74:6464
游戏风云,http://124.112.241.36:4022/rtp/238.1.78.81:6520
法治天地,http://124.112.241.36:4022/rtp/238.1.78.84:6544
合肥新闻,http://124.112.241.36:4022/rtp/238.1.78.111:6760
肥东新闻综合,http://124.112.241.36:4022/rtp/238.1.78.183:7336
肥东经济生活,http://124.112.241.36:4022/rtp/238.1.78.184:7344
肥西新闻综合,http://124.112.241.36:4022/rtp/238.1.78.185:7352
滁州新闻综合,http://124.112.241.36:4022/rtp/238.1.78.132:6928
滁州科教,http://124.112.241.36:4022/rtp/238.1.78.134:6944
来安新闻综合,http://124.112.241.36:4022/rtp/238.1.78.204:7504
定远新闻综合,http://124.112.241.36:4022/rtp/238.1.78.205:7512
凤阳综合,http://124.112.241.36:4022/rtp/238.1.78.207:7528
明光综合,http://124.112.241.36:4022/rtp/238.1.78.208:7536
芜湖新闻综合,http://124.112.241.36:4022/rtp/238.1.78.112:6768
芜湖生活,http://124.112.241.36:4022/rtp/238.1.78.152:7088
湾沚综合,http://124.112.241.36:4022/rtp/238.1.78.187:7368
繁昌新闻综合,http://124.112.241.36:4022/rtp/238.1.78.190:7392
无为综合,http://124.112.241.36:4022/rtp/238.1.78.188:7376
南陵新闻综合,http://124.112.241.36:4022/rtp/238.1.78.189:7384
马鞍山新闻综合,http://124.112.241.36:4022/rtp/238.1.79.15:4232
马鞍山科教生活,http://124.112.241.36:4022/rtp/238.1.78.77:6488
安庆新闻综合,http://124.112.241.36:4022/rtp/238.1.78.117:6808
安庆经济生活,http://124.112.241.36:4022/rtp/238.1.78.118:6816
潜山综合,http://124.112.241.36:4022/rtp/238.1.78.192:7408
桐城综合,http://124.112.241.36:4022/rtp/238.1.78.28:6152
太湖新闻综合,http://124.112.241.36:4022/rtp/238.1.79.12:4208
黄山新闻综合,http://124.112.241.36:4022/rtp/238.1.78.130:6912
黄山文旅,http://124.112.241.36:4022/rtp/238.1.78.131:6920
徽州新闻,http://124.112.241.36:4022/rtp/238.1.78.138:6976
黄山区融媒,http://124.112.241.36:4022/rtp/238.1.78.199:7464
歙县综合,http://124.112.241.36:4022/rtp/238.1.78.200:7472
休宁新闻综合,http://124.112.241.36:4022/rtp/238.1.79.20:4272
祁门综合,http://124.112.241.36:4022/rtp/238.1.79.14:4224
黟县综合,http://124.112.241.36:4022/rtp/238.1.78.149:7064
宣城综合,http://124.112.241.36:4022/rtp/238.1.78.142:7008
广德新闻综合,http://124.112.241.36:4022/rtp/238.1.78.212:7568
广德生活,http://124.112.241.36:4022/rtp/238.1.78.213:7576
郎溪新闻综合,http://124.112.241.36:4022/rtp/238.1.78.214:7584
旌德综合,http://124.112.241.36:4022/rtp/238.1.78.215:7592
宁国新闻综合,http://124.112.241.36:4022/rtp/238.1.78.216:7600
绩溪新闻综合,http://124.112.241.36:4022/rtp/238.1.78.218:7616
