福建电信-组播1,#genre#
CETV2,http://27.152.133.130:34567/rtp/239.61.5.169:1025
CETV4,http://27.152.133.130:34567/rtp/239.61.5.196:1025
CGTN,http://27.152.133.130:34567/rtp/239.61.2.19:8108
CGTN,http://27.152.133.130:34567/rtp/239.61.4.19:1025
CGTN俄语,http://27.152.133.130:34567/rtp/239.61.3.45:9788
CGTN俄语,http://27.152.133.130:34567/rtp/239.61.4.132:1025
CGTN法语,http://27.152.133.130:34567/rtp/239.61.3.44:9782
CGTN法语,http://27.152.133.130:34567/rtp/239.61.4.131:1025
CGTN纪录,http://27.152.133.130:34567/rtp/239.61.4.133:1025
CGTN西语,http://27.152.133.130:34567/rtp/239.61.3.43:9776
中央新影-中学生,http://27.152.133.130:34567/rtp/239.61.3.73:9956
中央新影-中学生,http://27.152.133.130:34567/rtp/239.61.4.188:1025
中央新影-发现之旅,http://27.152.133.130:34567/rtp/239.61.3.74:9962
中央新影-老故事,http://27.152.133.130:34567/rtp/239.61.4.200:1025
CHC动作电影,http://27.152.133.130:34567/rtp/239.61.3.16:9616
CHC动作电影,http://27.152.133.130:34567/rtp/239.61.4.169:1025
CCTV4K,http://27.152.133.130:34567/rtp/239.61.3.102:10130
CCTV4K,http://27.152.133.130:34567/rtp/239.61.4.202:1025
苏超4K,http://27.152.133.130:34567/rtp/239.61.4.214:1025
北京卫视4K,http://27.152.133.130:34567/rtp/239.61.4.194:1025$2160p
广东卫视4K,http://27.152.133.130:34567/rtp/239.61.4.195:1025$2160p
深圳卫视4K,,http://27.152.133.130:34567/rtp/239.61.4.196:1025$2160p
东方卫视4K,http://27.152.133.130:34567/rtp/239.61.4.215:1025$2160p
江苏卫视4K,http://27.152.133.130:34567/rtp/239.61.4.216:1025$2160p
浙江卫视4K,http://27.152.133.130:34567/rtp/239.61.4.217:1025$2160p
山东卫视4K,http://27.152.133.130:34567/rtp/239.61.4.218:1025$2160p
湖南卫视4K,http://27.152.133.130:34567/rtp/239.61.4.219:1025$2160p
四川卫视4K,http://27.152.133.130:34567/rtp/239.61.4.220:1025$2160p
